ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020625023;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"460 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 62, dessiné au recto";
cl020625024;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"460 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 62, dessiné au verso";
cl020625025;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"461 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 63, dessiné au recto";
cl020625026;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"461 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 63, dessiné au verso";
cl020625027;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"462 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 64, dessiné au recto";
cl020625028;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"462 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 64, dessiné au verso";
cl020625029;"Etude d'oiseau";"THIER Bernhard Heinrich";;"463 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 65, dessiné au recto";
cl020625030;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"463 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 65, dessiné au verso";
cl020625031;"Etude de paysage";"THIER Bernhard Heinrich";;"464 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 66, dessiné au recto";
cl020625032;"Etude de paysage";"THIER Bernhard Heinrich";;"464 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 66, dessiné au verso";
cl020625033;"Etude de paysage";"THIER Bernhard Heinrich";;"465 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 67, dessiné au recto";
cl020625034;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"465 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 67, dessiné au verso";
